student_id,academic_year,target,n_courses,courses_mean,degree_size,seniority,highest_course_year_enrolled,credits_enrolled_semester_a,credits_enrolled_semester_b,total_credits_enrolled_academic_year,total_credits_passed_academic_year,pass_ratio_sem_a,pass_ratio_sem_b,total_performance,obtained_new_degree_flag,adapted_studies_flag,completion_rate_one_year_before,completion_rate_two_years_before,completion_rate_three_years_before,pass_ratio_sem_a_and_zero_flag,pass_ratio_sem_b_and_zero_flag,total_performance_and_zero_flag,completion_rate_one_year_before_missing_flag,completion_rate_two_years_before_missing_flag,completion_rate_three_years_before_missing_flag,lms_events_sem_a,lms_events_sem_b,lms_assignment_submissions_sem_a,lms_assignment_submissions_sem_b,lms_test_submissions_sem_a,lms_test_submissions_sem_b,lms_total_minutes_sem_a,lms_total_minutes_sem_b,attendance_days_sem_a,attendance_days_sem_b
student_21078,2021,non-dropout,10,8.89,180,0,1,21,21,60,60,100,100,100,0,0,0,0,0,0,0,0,1,1,1,424,785,7,19,12,4,3426.63,3279.72,38,57
student_04763,2018,non-dropout,8,7.81,240,3,4,28.5,30,58.5,46.5,100,60,79.49,0,0,100,100,100,0,0,0,0,0,0,644,139,12,2,1,1,4130.08,1870.78,64,50
student_16375,2021,non-dropout,13,7.35,240,2,3,28.5,31.5,60,60,100,100,100,0,0,100,100,0,0,0,0,0,0,1,709,1961,15,15,14,65,4295.96,5483.89,69,57
student_01316,2018,non-dropout,9,6.71,240,2,3,30,31.5,61.5,61.5,100,100,100,0,0,100,100,0,0,0,0,0,0,1,318,156,1,10,0,0,2777.56,1994.15,19,30
student_32573,2022,non-dropout,10,6.91,240,1,2,30,30,60,60,100,100,100,0,0,100,0,0,0,0,0,0,1,1,507,582,5,12,10,9,7357.78,4316.75,85,98
student_05716,2018,dropout,2,0.85,240,1,2,6,9,60,0,0,0,0,0,0,100,0,0,0,0,0,0,1,1,32,0,5,0,0,0,472.94,0,14,3
student_39444,2022,non-dropout,7,6.19,240,3,4,25.5,21,46.5,46.5,100,100,100,0,0,100,90,100,0,0,0,0,0,0,314,165,4,0,14,3,3352.41,1997.75,48,23
student_29016,2022,non-dropout,10,7.19,240,2,3,24,39,63,58.5,100,88.46,92.86,0,0,87.5,100,0,0,0,0,0,0,1,1111,1954,8,20,8,65,6641.78,5636.12,63,58
student_17016,2021,non-dropout,7,6.51,300,4,5,4.5,10.5,55.5,55.5,100,100,100,0,0,82.69,100,100,0,0,0,0,0,0,203,232,0,0,0,1,2985.84,3220.14,72,85
student_01592,2018,non-dropout,7,8.67,240,1,2,33,27,60,60,100,100,100,0,0,100,0,0,0,0,0,0,1,1,203,170,0,7,10,2,2167.8,2723.89,42,77
student_13756,2018,non-dropout,8,7.55,240,0,1,16.5,22.5,60,60,100,100,100,0,0,0,0,0,0,0,0,1,1,1,1769,657,19,3,33,5,10331.94,5582.53,22,80
student_19398,2021,non-dropout,7,8.27,240,2,3,34.5,21,60,60,100,100,100,0,0,100,100,0,0,0,0,0,0,1,314,364,2,2,2,0,3124.29,3245,36,11
student_36407,2022,non-dropout,7,6.3,300,2,3,12,6,60,60,100,100,100,0,0,100,100,0,0,0,0,0,0,1,479,438,0,8,35,0,4424.42,3341.57,74,67
student_38634,2022,non-dropout,9,6.16,240,1,2,18,19.5,61.5,61.5,100,100,100,0,0,100,0,0,0,0,0,0,1,1,1287,666,26,18,59,28,5369.48,4543.51,74,45
student_40045,2022,non-dropout,10,7.04,240,2,3,30,30,60,60,100,100,100,0,0,100,100,0,0,0,0,0,0,1,763,522,17,11,9,3,4473.49,3461.48,49,46
student_32981,2022,dropout,12,6.84,180,1,2,30,30,60,60,100,100,100,0,0,100,0,0,0,0,0,0,1,1,1200,346,8,1,89,0,4732.03,3497.22,75,74
student_11650,2018,non-dropout,2,5.35,240,4,4,18,0,18,18,100,0,100,0,0,62.5,100,100,0,1,0,0,0,0,184,4,0,0,5,1,3916.25,137.54,0,0
student_34809,2022,non-dropout,11,5.14,240,1,2,21,30,60,49.5,71.43,88.46,82.5,0,0,67.5,0,0,0,0,0,0,1,1,1005,503,11,7,36,11,6266.9,5021.77,78,59
student_33739,2022,non-dropout,10,6.48,240,1,2,37.5,30,67.5,63,88,100,93.33,0,0,80,0,0,0,0,0,0,1,1,1407,372,13,11,19,0,5512.77,4048.79,69,73
student_09816,2018,non-dropout,9,6.62,240,2,3,25.5,37.5,63,63,100,100,100,0,0,93.02,100,0,0,0,0,0,0,1,357,338,9,6,1,3,3509.63,3320.93,17,62
student_09975,2018,non-dropout,7,6.51,300,4,5,9,9,51,51,100,100,100,0,0,59.57,75,100,0,0,0,0,0,0,513,98,3,2,0,0,1960.73,1434.1,35,49
student_24290,2021,non-dropout,10,5.32,240,1,2,30,30,60,48,60,100,80,0,0,100,0,0,0,0,0,0,1,1,1625,368,18,5,29,12,5970.97,3887.7,50,62
student_01663,2018,non-dropout,5,6.96,240,1,2,6,9,60,60,100,100,100,0,0,100,0,0,0,0,0,0,1,1,55,145,6,4,0,0,687.18,1593.16,57,48
student_14755,2021,non-dropout,4,9.7,240,4,4,18,16.5,34.5,34.5,100,100,100,0,0,100,57.89,100,0,0,0,0,0,0,211,198,7,2,0,0,1452.27,1425.5,21,18
student_38072,2022,non-dropout,7,8.99,240,1,2,33,27,60,60,100,100,100,0,0,100,0,0,0,0,0,0,1,1,730,416,18,10,3,3,3352.33,4147.85,93,87
